436,11,32600
436,12,31490
436,13,31770
436,14,31300
436,15,31130
436,16,31280
436,17,31570
436,18,81470
436,19,81470
436,20,81700
436,21,81570
436,22,81100
436,23,81100
436,24,81490
436,25,81260
436,26,81260
436,27,34330
436,28,34330
436,29,34390
436,30,34610
436,31,34600
436,32,34600
436,33,34800
436,34,34800
436,35,34230
436,36,34230
436,37,34570
436,38,34680
436,39,34000
436,40,34130
436,41,34590
436,42,30220
436,43,30600
436,44,30800
436,45,13123
436,46,13200
436,47,13104
436,48,13310
436,49,13118
436,50,13140
436,51,13300
436,52,13680
436,53,13760
436,54,13540
436,55,13770
436,56,13860
436,57,83560
436,58,83560
436,59,83560
436,60,83670
436,61,83670
436,62,83630
436,63,83690
436,64,83111
436,65,83131
436,66,83830
436,67,83440
436,68,83440
436,69,83440
436,70,06250
436,71,06600
437,-14,40510
437,-13,40230
437,-12,40230
437,-11,40990
437,-10,40180
437,-9,40180
437,-8,40380
437,-7,40250
437,-6,40700
437,-5,40500
437,-4,40320
437,-3,40800
437,-2,32720
437,-1,32400
437,0,32400
437,1,32290
437,2,32290
437,3,32190
437,4,32350
437,5,32350
437,6,32810
437,7,32270
437,8,32270
437,9,32430
437,10,32430
437,11,31480
437,12,31530
437,13,31330
437,14,31140
437,15,31180
437,16,31380
437,17,81500
437,18,81500
437,19,81500
437,20,81220
437,21,81440
437,22,81440
437,23,81360
437,24,81330
437,25,81260
437,26,81530
437,27,81230
437,28,81320
437,29,81320
437,30,34610
437,31,34260
437,32,34650
437,33,34700
437,34,34700
437,35,34150
437,36,34150
437,37,34380
437,38,34980
437,39,34820
437,40,34160
437,41,34400
437,42,30470
437,43,30600
437,44,30800
437,45,13200
437,46,30300
437,47,13280
437,48,13520
437,49,13890
437,50,13430
437,51,13113
437,52,13370
437,53,13640
437,54,84530
437,55,84120
437,56,84240
437,57,84120
437,58,83560
437,59,83560
437,60,04500
437,61,83630
437,62,83630
437,63,83630
437,64,83630
437,65,83840
437,66,83840
437,67,83440
437,68,06460
437,69,06460
437,70,06620
437,71,06480
437,72,06200
437,73,06300
438,-14,40660
438,-13,40140
438,-12,40140
438,-11,40990
438,-10,40990
438,-9,40465
438,-8,40400
438,-7,40250
438,-6,40500
438,-5,40280
438,-4,40270
438,-3,40270
438,-2,32240
438,-1,32110
438,0,32370
438,1,32370
438,2,32800
438,3,32190
438,4,32410
438,5,32410
438,6,32390
438,7,32500
438,8,32120
438,9,32120
438,10,82500
438,11,31480
438,12,82600
438,13,82170
438,14,31620
438,15,31340
438,16,31660
438,17,81800
438,18,81310
438,19,81310
438,20,81300
438,21,81120
438,22,81120
438,23,81120
438,24,81120
438,25,81530
438,26,81530
438,27,12370
438,28,12370
438,29,12360
438,30,12360
438,31,34260
438,32,34650
438,33,34700
438,34,34700
438,35,34520
438,36,34380
438,37,34380
438,38,34380
438,39,34270
438,40,34160
438,41,30250
438,42,30420
438,43,30540
438,44,30132
438,45,30129
438,46,30300
438,47,13150
438,48,13210
438,49,13210
438,50,13660
438,51,84460
438,52,84560
438,53,84480
438,54,84160
438,55,84240
438,56,84240
438,57,04860
438,58,04100
438,59,04800
438,60,04500
438,61,04500
438,62,04360
438,63,04120
438,64,04120
438,65,04120
438,66,83840
438,67,06750
438,68,06750
438,69,06620
438,70,06140
438,71,06510
438,72,06510
438,73,06390
438,74,06440
438,75,06500
439,-13,40560
439,-12,40260
439,-11,40260
439,-10,40370
439,-9,40370
439,-8,40370
439,-7,40400
439,-6,40090
439,-5,40000
439,-4,40090
439,-3,40190
439,-2,32240
439,-1,32240
439,0,32150
439,1,32800
439,2,32330
439,3,32330
439,4,32310
439,5,32700
439,6,32500
439,7,32700
439,8,32380
439,9,32380
439,10,82500
439,11,82600
439,12,82600
439,13,82700
439,14,82370
439,15,82370
439,16,81630
439,17,81630
439,18,81310
